CustomerID,Phone Service,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies
3668-QPYBK,Yes,DSL,Yes,Yes,No,No,No,No
9237-HQITU,Yes,Fiber optic,No,No,No,No,No,No
9305-CDSKC,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
7892-POOKP,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
0280-XJGEX,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
4190-MFLUW,Yes,DSL,No,No,Yes,Yes,No,No
8779-QRDMV,No,DSL,No,No,Yes,No,No,Yes
1066-JKSGK,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6467-CHFZW,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
8665-UTDHZ,No,DSL,No,Yes,No,No,No,No
8773-HHUOZ,Yes,DSL,No,No,No,No,Yes,Yes
6047-YHPVI,Yes,Fiber optic,No,No,No,No,No,No
5380-WJKOV,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
8168-UQWWF,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
7760-OYPDY,Yes,Fiber optic,No,No,No,No,Yes,No
9420-LOJKX,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes
7495-OOKFY,Yes,Fiber optic,No,Yes,No,No,No,No
1658-BYGOY,Yes,Fiber optic,No,No,No,No,Yes,Yes
5698-BQJOH,Yes,Fiber optic,No,No,No,No,Yes,Yes
5919-TMRGD,Yes,Fiber optic,No,No,No,No,Yes,No
9191-MYQKX,Yes,Fiber optic,No,No,Yes,No,No,No
8637-XJIVR,Yes,Fiber optic,Yes,No,No,No,No,No
0278-YXOOG,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4598-XLKNJ,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
3192-NQECA,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
0486-HECZI,Yes,Fiber optic,Yes,Yes,No,No,Yes,No
4846-WHAFZ,Yes,Fiber optic,No,No,No,No,No,No
5299-RULOA,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
0404-SWRVG,Yes,Fiber optic,No,No,No,No,No,No
4412-YLTKF,Yes,Fiber optic,No,No,Yes,No,No,No
6207-WIOLX,No,DSL,Yes,Yes,Yes,No,Yes,Yes
3091-FYHKI,No,DSL,No,No,No,No,No,Yes
2372-HWUHI,Yes,DSL,No,No,No,No,No,No
0390-DCFDQ,Yes,Fiber optic,No,No,No,No,No,No
4080-OGPJL,Yes,DSL,Yes,No,No,Yes,No,Yes
2135-RXIHG,Yes,DSL,No,No,No,No,No,No
3874-EQOEP,Yes,Fiber optic,No,No,No,No,Yes,Yes
0867-MKZVY,Yes,Fiber optic,Yes,No,No,No,No,No
3376-BMGFE,Yes,Fiber optic,No,No,No,No,No,No
3445-HXXGF,No,DSL,No,Yes,Yes,No,No,Yes
1875-QIVME,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
0691-JVSYA,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
2656-FMOKZ,Yes,Fiber optic,No,No,No,No,No,No
2070-FNEXE,Yes,Fiber optic,Yes,No,No,No,No,No
6317-YPKDH,No,DSL,No,Yes,No,No,No,No
9367-WXLCH,Yes,Fiber optic,No,No,No,No,No,Yes
1918-ZBFQJ,Yes,Fiber optic,No,Yes,Yes,No,No,No
1024-GUALD,No,DSL,No,No,No,No,No,No
2472-OVKUP,Yes,Fiber optic,No,Yes,Yes,No,No,Yes
1285-OKIPP,Yes,Fiber optic,No,No,No,No,No,Yes
7825-ECJRF,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
7841-TZDMQ,Yes,DSL,No,No,No,No,No,No
9408-SSNVZ,Yes,Fiber optic,No,No,No,No,No,No
0742-MOABM,Yes,DSL,No,No,No,Yes,No,No
2232-DMLXU,Yes,DSL,No,No,No,No,Yes,No
8937-RDTHP,Yes,Fiber optic,Yes,No,No,No,No,Yes
1251-KRREG,Yes,DSL,No,Yes,No,No,No,No
0094-OIFMO,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
9947-OTFQU,Yes,Fiber optic,No,Yes,No,No,No,No
0322-YINQP,Yes,DSL,Yes,No,No,No,No,No
4629-NRXKX,Yes,Fiber optic,No,No,No,No,No,No
9514-JDSKI,No,DSL,No,Yes,No,No,Yes,No
4959-JOSRX,Yes,DSL,No,No,No,No,No,No
7273-TEFQD,No,DSL,No,No,Yes,No,No,Yes
3606-TWKGI,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
6323-AYBRX,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
